"id","quantity","file","description","created","updated","product_id","supplier_id"
1,298,,"",2023-05-09 12:49:17.297 -0300,2023-05-09 12:49:17.297 -0300,5,1
2,150,,"",2023-05-09 15:39:30.035 -0300,2023-05-09 15:39:30.035 -0300,5,1
